"person_id","first_name","last_name","display_first_last","display_last_comma_first","display_fi_last","birthdate","school","country","last_affiliation","height","weight","season_exp","jersey","position","rosterstatus","team_id","team_name","team_abbreviation","team_code","team_city","playercode","from_year","to_year","dleague_flag"
713,"Chris","Carr","Chris Carr","Carr, Chris","C. Carr","1974-03-12T00:00:00","Southern Illinois","US","Southern Illinois/US","","",0,"","","Inactive",0,"","","","","chris_carr","1995","2000","N"
714,"Michael","Finley","Michael Finley","Finley, Michael","M. Finley","1973-03-06T00:00:00","Wisconsin","US","Wisconsin/US","6-7","225",14,"40","Guard-Forward","Active",1610612738,"Celtics","BOS","celtics","Boston","michael_finley","1995","2009","N"
715,"John","Coker","John Coker","Coker, John","J. Coker","1971-10-28T00:00:00","Boise State","US","Boise State/US","","",0,"","","Inactive",0,"","","","","john_coker","1995","2000","N"
716,"Rumeal","Robinson","Rumeal Robinson","Robinson, Rumeal","R. Robinson","1966-11-13T00:00:00","Michigan","US","Michigan/US","6-2","195",5,"20","Guard","Active",1610612757,"Trail Blazers","POR","blazers","Portland","HISTADD_rumeal_robinson","1990","1996","N"
717,"Arvydas","Sabonis","Arvydas Sabonis","Sabonis, Arvydas","A. Sabonis","1964-12-19T00:00:00","Lithuania","Lithuania","Lithuania/Lithuania","7-3","292",6,"11","Center","Active",1610612757,"Trail Blazers","POR","blazers","Portland","arvydas_sabonis","1995","2002","N"
718,"Gary","Trent","Gary Trent","Trent, Gary","G. Trent","1974-09-22T00:00:00","Ohio","US","Ohio ''96/US","6-8","250",8,"20","Forward","Active",1610612750,"Timberwolves","MIN","timberwolves","Minnesota","gary_trent","1995","2003","N"
719,"Randolph","Childress","Randolph Childress","Childress, Randolph","R. Childress","1972-09-21T00:00:00","Wake Forest","US","Wake Forest/US","","",0,"","","Inactive",0,"","","","","HISTADD_randolph_childress","1995","1996","N"
720,"Terrence","Rencher","Terrence Rencher","Rencher, Terrence","T. Rencher","1973-02-19T00:00:00","Texas","US","Texas/US","","",0,"","","Inactive",0,"","","","","HISTADD_terrence_rencher","1995","1995","N"
721,"Tyus","Edney","Tyus Edney","Edney, Tyus","T. Edney","1973-02-14T00:00:00","UCLA","US","UCLA/US","5-10","166",3,"2","Guard","Active",1610612754,"Pacers","IND","pacers","Indiana","HISTADD_tyus_edney","1995","2000","N"
722,"Corliss","Williamson","Corliss Williamson","Williamson, Corliss","C. Williamson","1973-12-04T00:00:00","Arkansas","US","Arkansas/US","6-7","245",11,"34","Forward","Active",1610612758,"Kings","SAC","kings","Sacramento","corliss_williamson","1995","2006","N"
723,"Clint","McDaniel","Clint McDaniel","McDaniel, Clint","C. McDaniel","1972-02-26T00:00:00",NA,"US","Arkansas/US","6-4","180",0,"20","Guard","Active",1610612758,"Kings","SAC","kings","Sacramento","HISTADD_clint_mcdaniel","1995","1995","N"
724,"Cory","Alexander","Cory Alexander","Alexander, Cory","C. Alexander","1973-06-22T00:00:00","Virginia","US","Virginia/US","6-1","190",6,"12","Guard","Active",1610612766,"Bobcats","CHA","hornets","Charlotte","cory_alexander","1995","2004","N"
725,"Dell","Demps","Dell Demps","Demps, Dell","D. Demps","1970-02-12T00:00:00","Pacific","US","U. of Pacific/US","","",0,"","","Inactive",0,"","","","","HISTADD_dell_demps","1993","1996","N"
726,"Sherell","Ford","Sherell Ford","Ford, Sherell","S. Ford","1972-08-26T00:00:00","Illinois-Chicago","US","Illinois/US","6-7","210",0,"1","Forward","Active",1610612760,"SuperSonics","SEA","thunder","Seattle","HISTADD_sherell_ford","1995","1995","N"
727,"Eric","Snow","Eric Snow","Snow, Eric","E. Snow","1973-04-24T00:00:00","Michigan State","US","Michigan State/US","6-3","205",12,"20","Guard","Active",1610612739,"Cavaliers","CLE","cavaliers","Cleveland","eric_snow","1995","2007","N"
728,"Jimmy","King","Jimmy King","King, Jimmy","J. King","1973-08-09T00:00:00","Michigan","US","Michigan/US","6-5","210",1,"13","Guard","Active",1610612743,"Nuggets","DEN","nuggets","Denver","HISTADD_jimmy_king","1995","1996","N"
729,"Martin","Lewis","Martin Lewis","Lewis, Martin","M. Lewis","1975-04-28T00:00:00","Butler","US","Seward Co. CC KS/US","6-6","225",1,"32","Forward","Active",1610612761,"Raptors","TOR","raptors","Toronto","HISTADD_martin_lewis","1995","1996","N"
730,"Dwayne","Whitfield","Dwayne Whitfield","Whitfield, Dwayne","D. Whitfield","1972-08-21T00:00:00","Jackson State","US","Jackson State/US","6-7","240",0,"23","Forward","Active",1610612761,"Raptors","TOR","raptors","Toronto","HISTADD_dwayne_whitfield","1995","1995","N"
731,"Greg","Ostertag","Greg Ostertag","Ostertag, Greg","G. Ostertag","1973-03-06T00:00:00","Kansas","US","Kansas/US","","",0,"","","Inactive",0,"","","","","greg_ostertag","1995","2005","Y"
732,"Ashraf","Amaya","Ashraf Amaya","Amaya, Ashraf","A. Amaya","1971-11-23T00:00:00","Southern Illinois","US","Southern Illinois/US","","",0,"","","Inactive",0,"","","","","HISTADD_ashraf_amaya","1995","1996","N"
733,"Cuonzo","Martin","Cuonzo Martin","Martin, Cuonzo","C. Martin","1971-09-23T00:00:00","Purdue","US","Purdue/US","","",0,"","","Inactive",0,"","","","","HISTADD_cuonzo_martin","1995","1996","N"
734,"Lawrence","Moten","Lawrence Moten","Moten, Lawrence","L. Moten","1972-03-25T00:00:00","Syracuse","US","Syracuse/US","","",0,"","","Inactive",0,"","","","","HISTADD_lawrence_moten","1995","1997","N"
735,"Bryant","Reeves","Bryant Reeves","Reeves, Bryant","B. Reeves","1973-06-08T00:00:00","Oklahoma State","US","Oklahoma State/US","7-0","290",5,"50","Center","Active",1610612763,"Grizzlies","VAN","grizzlies","Vancouver","HISTADD_bryant_reeves","1995","2000","N"
736,"Cedric","Lewis","Cedric Lewis","Lewis, Cedric","C. Lewis","1969-09-24T00:00:00",NA,"US","Maryland/US","6-10","235",0,"42","Forward","Active",1610612764,"Bullets","WAS","wizards","Washington","HISTADD_cedric_lewis","1995","1995","N"
737,"Bob","McCann","Bob McCann","McCann, Bob","B. McCann","1964-04-22T00:00:00","Morehead State","US","Upsala; Morehead State/US","","",0,"","","Inactive",0,"","","","","HISTADD_bob_mccann","1989","1997","N"
738,"Bob","Thornton","Bob Thornton","Thornton, Bob","B. Thornton","1962-07-10T00:00:00","Cal-Irvine","US","Saddleback Coll. CA (J.C.); California-Irvine/US","6-10","225",7,"34","Forward","Active",1610612764,"Bullets","WAS","wizards","Washington","HISTADD_bob_thornton","1985","1995","N"
739,"Rasheed","Wallace","Rasheed Wallace","Wallace, Rasheed","R. Wallace","1974-09-17T00:00:00","North Carolina","USA","North Carolina/USA","","",0,"","","Inactive",0,"","","","","rasheed_wallace","1995","2012","N"
753,"Randy","Brown","Randy Brown","Brown, Randy","R. Brown","1968-05-22T00:00:00","New Mexico State","US","New Mexico State ''91/US","6-2","190",11,"0","Guard","Active",1610612756,"Suns","PHX","suns","Phoenix","randy_brown","1991","2002","N"
754,"Jim","Jackson","Jim Jackson","Jackson, Jim","J. Jackson","1970-10-14T00:00:00","Ohio State","US","Ohio State/US","6-6","220",13,"24","Forward-Guard","Active",1610612747,"Lakers","LAL","lakers","Los Angeles","jim_jackson","1992","2005","N"
757,"Damon","Stoudamire","Damon Stoudamire","Stoudamire, Damon","D. Stoudamire","1973-09-03T00:00:00","Arizona","US","Arizona/US","5-10","171",12,"3","Guard","Active",1610612759,"Spurs","SAS","spurs","San Antonio","damon_stoudamire","1995","2007","N"
760,"Jerome","Kersey","Jerome Kersey","Kersey, Jerome","J. Kersey","1962-06-26T00:00:00","Longwood","US","Longwood/US","","",0,"","","Inactive",0,"","","","","HISTADD_jerome_kersey","1984","2000","N"
761,"Matt","Geiger","Matt Geiger","Geiger, Matt","M. Geiger","1969-09-10T00:00:00","Georgia Tech","US","Auburn; Georgia Tech/US","","",0,"","","Inactive",0,"","","","","HISTADD_matt_geiger","1992","2001","N"
762,"Shawn","Bradley","Shawn Bradley","Bradley, Shawn","S. Bradley","1972-03-22T00:00:00","Brigham Young","US","Brigham Young/US","7-6","275",11,"44","Center","Active",1610612742,"Mavericks","DAL","mavericks","Dallas","shawn_bradley","1993","2004","N"
763,"Tony","Massenburg","Tony Massenburg","Massenburg, Tony","T. Massenburg","1967-07-31T00:00:00","Maryland","US","Maryland/US","6-9","250",12,"34","Forward-Center","Active",1610612759,"Spurs","SAS","spurs","San Antonio","tony_massenburg","1990","2004","N"
764,"David","Robinson","David Robinson","Robinson, David","D. Robinson","1965-08-06T00:00:00","Navy","US","Navy ''87/US","7-1","250",13,"50","Center","Active",1610612759,"Spurs","SAS","spurs","San Antonio","HISTADD_david_robinson","1989","2002","N"
765,"Hersey","Hawkins","Hersey Hawkins","Hawkins, Hersey","H. Hawkins","1966-09-29T00:00:00","Bradley","US","Bradley/US","6-3","200",12,"33","Guard","Active",1610612766,"Hornets","CHH","hornets","Charlotte","HISTADD_hersey_hawkins","1988","2000","N"
766,"David","Wingate","David Wingate","Wingate, David","D. Wingate","1963-12-15T00:00:00","Georgetown","US","Georgetown/US","6-5","187",14,"25","Guard-Forward","Active",1610612760,"SuperSonics","SEA","thunder","Seattle","HISTADD_david_wingate","1986","2000","N"
767,"Terry","Catledge","Terry Catledge","Catledge, Terry","T. Catledge","1963-08-22T00:00:00","Alabama","US","Itawamba CC MS; South Alabama/US","6-8","220",7,"33","Forward","Active",1610612753,"Magic","ORL","magic","Orlando","HISTADD_terry_catledge","1985","1992","N"
768,"Acie","Earl","Acie Earl","Earl, Acie","A. Earl","1970-06-23T00:00:00","Iowa","US","Iowa/US","6-11","240",3,"55","Forward-Center","Active",1610612749,"Bucks","MIL","bucks","Milwaukee","HISTADD_acie_earl","1993","1996","N"
769,"B.J.","Armstrong","B.J. Armstrong","Armstrong, B.J.","B. Armstrong","1967-09-09T00:00:00","Iowa","US","Iowa/US","6-2","185",10,"11","Guard","Active",1610612741,"Bulls","CHI","bulls","Chicago","HISTADD_bj_armstrong","1989","1999","N"
770,"Mark","West","Mark West","West, Mark","M. West","1960-11-05T00:00:00","Old Dominion","US","Old Dominion/US","","",0,"","","Inactive",0,"","","","","HISTADD_mark_west","1983","1999","N"
771,"Elmore","Spencer","Elmore Spencer","Spencer, Elmore","E. Spencer","1969-12-06T00:00:00","UNLV","US","Georgia; Connors State Coll. OK (J.C.); Southern N","","",0,"","","Inactive",0,"","","","","HISTADD_elmore_spencer","1992","1996","N"
777,"Rex","Walters","Rex Walters","Walters, Rex","R. Walters","1970-03-12T00:00:00","Kansas","US","De Anza Coll. CA (J.C.); Northwestern; Kansas/US","","",0,"","","Inactive",0,"","","","","rex_walters","1993","1999","N"
779,"Glen","Rice","Glen Rice","Rice, Glen","G. Rice","1967-05-28T00:00:00","Michigan","US","Michigan ''89/US","","",0,"","","Inactive",0,"","","","","glen_rice","1989","2003","N"
780,"Byron","Houston","Byron Houston","Houston, Byron","B. Houston","1969-11-22T00:00:00","Oklahoma State","US","Oklahoma State/US","6-5","250",3,"35","Forward","Active",1610612758,"Kings","SAC","kings","Sacramento","HISTADD_byron_houston","1992","1995","N"
781,"Will","Perdue","Will Perdue","Perdue, Will","W. Perdue","1965-08-29T00:00:00","Vanderbilt","US","Vanderbilt/US","7-0","240",12,"55","Center","Active",1610612757,"Trail Blazers","POR","blazers","Portland","HISTADD_will_perdue","1988","2000","N"
782,"Mitch","Richmond","Mitch Richmond","Richmond, Mitch","M. Richmond","1965-06-30T00:00:00","Kansas State","US","Moberly Area CC; Kansas State/US","6-5","220",13,"23","Guard","Active",1610612747,"Lakers","LAL","lakers","Los Angeles","HISTADD_mitch_richmond","1988","2001","N"
783,"Frank","Brickowski","Frank Brickowski","Brickowski, Frank","F. Brickowski","1959-08-14T00:00:00","Penn State","US","Penn State/US","","",0,"","","Inactive",0,"","","","","HISTADD_frank_brickowski","1984","1996","N"
785,"Eric","Murdock","Eric Murdock","Murdock, Eric","E. Murdock","1968-06-14T00:00:00","Providence","US","Providence/US","","",0,"","","Inactive",0,"","","","","HISTADD_eric_murdock","1991","1999","N"
786,"Gerald","Wilkins","Gerald Wilkins","Wilkins, Gerald","G. Wilkins","1963-09-11T00:00:00","Tennessee-Chattanooga","US","Moberly Area CC; Tennessee-Chattanooga/US","","",0,"","","Inactive",0,"","","","","HISTADD_gerald_wilkins","1985","1998","N"
787,"Charles","Barkley","Charles Barkley","Barkley, Charles","C. Barkley","1963-02-20T00:00:00","Auburn","US","Auburn/US","6-6","252",15,"4","Forward","Active",1610612745,"Rockets","HOU","rockets","Houston","HISTADD_charles_barkley","1984","1999","N"
788,"Kevin","Willis","Kevin Willis","Willis, Kevin","K. Willis","1962-09-06T00:00:00","Michigan State","US","Michigan State/US","7-0","245",20,"45","Center-Forward","Active",1610612742,"Mavericks","DAL","mavericks","Dallas","kevin_willis","1984","2006","N"
891,"Charles","Oakley","Charles Oakley","Oakley, Charles","C. Oakley","1963-12-18T00:00:00","Virginia Union","US","Virginia Union ''85/US","6-9","245",18,"33","Forward","Active",1610612745,"Rockets","HOU","rockets","Houston","charles_oakley","1985","2003","N"
892,"Spud","Webb","Spud Webb","Webb, Spud","S. Webb","1963-07-13T00:00:00","North Carolina State","US","Midland Coll. TX (J.C.); North Carolina State/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_spud_webb","1985","1997","N"
893,"Michael","Jordan","Michael Jordan","Jordan, Michael","M. Jordan","1963-02-17T00:00:00","North Carolina","US","North Carolina ''84/US","6-6","216",14,"23","Guard","Active",1610612764,"Wizards","WAS","wizards","Washington","HISTADD_michael_jordan","1984","2002","N"
894,"Ricky","Pierce","Ricky Pierce","Pierce, Ricky","R. Pierce","1959-08-19T00:00:00","Rice","US","Walla Walla CC WA; Rice/US","6-4","215",15,"22","Guard","Active",1610612749,"Bucks","MIL","bucks","Milwaukee","HISTADD_ricky_pierce","1982","1997","N"
895,"Tyrone","Corbin","Tyrone Corbin","Corbin, Tyrone","T. Corbin","1962-12-31T00:00:00","DePaul","US","DePaul/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_tyrone_corbin","1985","2000","N"
896,"Tim","Hardaway","Tim Hardaway","Hardaway, Tim","T. Hardaway","1966-09-01T00:00:00","Texas-El Paso","US","Texas-El Paso ''89/US","",NA,0,"","","Inactive",0,"","","","","tim_hardaway","1989","2002","N"
897,"Tim","Perry","Tim Perry","Perry, Tim","T. Perry","1965-06-04T00:00:00","Temple","US","Temple/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_tim_perry","1988","1995","N"
898,"Blue","Edwards","Blue Edwards","Edwards, Blue","B. Edwards","1965-10-31T00:00:00","East Carolina","US","Louisburg; East Carolina/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_blue_edwards","1989","1998","N"
899,"Mark","Price","Mark Price","Price, Mark","M. Price","1964-02-15T00:00:00","Georgia Tech","US","Georgia Tech/US","6-0","180",11,"5","Guard","Active",1610612753,"Magic","ORL","magic","Orlando","HISTADD_mark_price","1986","1997","N"
900,"Matt","Fish","Matt Fish","Fish, Matt","M. Fish","1969-11-18T00:00:00","UNC-Wilmington","US","Wilmington/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_matt_fish","1994","1996","N"
901,"Otis","Thorpe","Otis Thorpe","Thorpe, Otis","O. Thorpe","1962-08-05T00:00:00","Providence","US","Providence/US","6-10","248",16,"52","Center-Forward","Active",1610612766,"Hornets","CHH","hornets","Charlotte","HISTADD_otis_thorpe","1984","2000","N"
902,"Bimbo","Coles","Bimbo Coles","Coles, Bimbo","B. Coles","1968-04-22T00:00:00","Virginia Tech","US","Virginia Tech ''90/US","6-2","182",13,"12","Guard","Active",1610612748,"Heat","MIA","heat","Miami","bimbo_coles","1990","2003","N"
903,"Geert","Hammink","Geert Hammink","Hammink, Geert","G. Hammink","1969-04-12T00:00:00","Louisiana State","US","Louisiana State/US","7-0","262",2,"43","Forward-Center","Active",1610612744,"Warriors","GOS","warriors","Golden State","HISTADD_geert_hammink","1993","1995","N"
904,"Chris","Mullin","Chris Mullin","Mullin, Chris","C. Mullin","1963-07-30T00:00:00","St. John's, N.Y.","US","St. John's (N.Y.)/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_chris_mullin","1985","2000","N"
905,"Dale","Davis","Dale Davis","Davis, Dale","D. Davis","1969-03-25T00:00:00","Clemson","US","Clemson/US","6-11","252",15,"34","Center-Forward","Active",1610612765,"Pistons","DET","pistons","Detroit","dale_davis","1991","2006","N"
906,"Haywoode","Workman","Haywoode Workman","Workman, Haywoode","H. Workman","1966-01-23T00:00:00","Oral Roberts","US","Winston-Salem State; Oral Roberts/US","",NA,0,"","","Inactive",0,"","","","","haywood_workman","1989","1999","N"
907,"Malik","Sealy","Malik Sealy","Sealy, Malik","M. Sealy","1970-02-01T00:00:00","St. John's, N.Y.","US","St. John's (N.Y.)/US","6-8","200",7,"2","Guard-Forward","Active",1610612750,"Timberwolves","MIN","timberwolves","Minnesota","HISTADD_malik_sealy","1992","1999","N"
911,"Ervin","Johnson","Ervin Johnson","Johnson, Ervin","E. Johnson","1967-12-21T00:00:00","New Orleans","US","New Orleans/US","6-11","245",12,"40","Center","Active",1610612749,"Bucks","MIL","bucks","Milwaukee","ervin_johnson","1993","2005","N"
912,"Rafael","Addison","Rafael Addison","Addison, Rafael","R. Addison","1964-07-22T00:00:00","Syracuse","US","Syracuse/US","6-8","241",5,"7","Forward","Active",1610612766,"Hornets","CHH","hornets","Charlotte","HISTADD_rafael_addison","1986","1996","N"
913,"Larry","Johnson","Larry Johnson","Johnson, Larry","L. Johnson","1969-03-14T00:00:00","UNLV","US","Odessa Coll. TX (J.C.); Nevada-Las Vegas/US","6-7","235",9,"2","Forward","Active",1610612752,"Knicks","NYK","knicks","New York","HISTADD_larry_johnson","1991","2000","N"
914,"Stanley","Roberts","Stanley Roberts","Roberts, Stanley","S. Roberts","1970-02-07T00:00:00","Louisiana State","US","Louisiana State/US","",NA,0,"","","Inactive",0,"","","","","stanley_roberts","1991","1999","N"
915,"Rodney","Rogers","Rodney Rogers","Rogers, Rodney","R. Rogers","1971-06-20T00:00:00","Wake Forest","US","Wake Forest/US","6-7","270",11,"54","Forward","Active",1610612755,"76ers","PHI","sixers","Philadelphia","rodney_rogers","1993","2004","N"
916,"Corie","Blount","Corie Blount","Blount, Corie","C. Blount","1969-01-04T00:00:00","Cincinnati","US","Cincinnati ''93/US","6-10","242",10,"44","Forward-Center","Active",1610612761,"Raptors","TOR","raptors","Toronto","corie_blount","1993","2003","N"
917,"Jack","Haley","Jack Haley","Haley, Jack","J. Haley","1964-01-27T00:00:00","UCLA","US","Golden West Coll. CA (J.C.); UCLA/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_jack_haley","1988","1997","N"
919,"Loy","Vaught","Loy Vaught","Vaught, Loy","L. Vaught","1968-02-27T00:00:00","Michigan","US","Michigan/US","6-9","240",10,"35","Forward-Center","Active",1610612764,"Wizards","WAS","wizards","Washington","loy_vaught","1990","2000","N"
920,"A.C.","Green","A.C. Green","Green, A.C.","A. Green","1963-10-04T00:00:00","Oregon State","US","Oregon State/US","6-9","225",15,"45","Forward","Active",1610612748,"Heat","MIA","heat","Miami","HISTADD_ac_green","1985","2000","N"
921,"Brad","Daugherty","Brad Daugherty","Daugherty, Brad","B. Daugherty","1965-10-19T00:00:00","North Carolina","US","North Carolina/US","7-0","245",7,"43","Center","Active",1610612739,"Cavaliers","CLE","cavaliers","Cleveland","HISTADD_brad_daugherty","1986","1993","N"
922,"Elden","Campbell","Elden Campbell","Campbell, Elden","E. Campbell","1968-07-23T00:00:00","Clemson","US","Clemson/US","7-0","279",14,"41","Center-Forward","Active",1610612765,"Pistons","DET","pistons","Detroit","elden_campbell","1990","2004","N"
923,"Donyell","Marshall","Donyell Marshall","Marshall, Donyell","D. Marshall","1973-05-18T00:00:00","Connecticut","US","Connecticut/US","6-9","245",14,"8","Forward","Active",1610612755,"76ers","PHI","sixers","Philadelphia","donyell_marshall","1994","2008","N"
924,"Anthony","Goldwire","Anthony Goldwire","Goldwire, Anthony","A. Goldwire","1971-09-06T00:00:00","Houston","US","Houston/US","",NA,0,"","","Inactive",0,"","","","","anthony_goldwire","1995","2005","N"
925,"Sean","Higgins","Sean Higgins","Higgins, Sean","S. Higgins","1968-12-30T00:00:00","Michigan","US","Michigan/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_sean_higgins","1990","1997","N"
926,"Alvin","Robertson","Alvin Robertson","Robertson, Alvin","A. Robertson","1962-07-22T00:00:00","Arkansas","US","Crowder College MO (J.C.); Arkansas/US","6-4","208",9,"7","Guard","Active",1610612761,"Raptors","TOR","raptors","Toronto","HISTADD_alvin_robertson","1984","1995","N"
927,"John","Salley","John Salley","Salley, John","J. Salley","1964-05-16T00:00:00","Georgia Tech","US","Georgia Tech/US","6-11","255",9,"16","Center-Forward","Active",1610612747,"Lakers","LAL","lakers","Los Angeles","HISTADD_john_salley","1986","1999","N"
928,"Robert","Churchwell","Robert Churchwell","Churchwell, Robert","R. Churchwell","1972-02-20T00:00:00",NA,"US","Georgetown/US","6-6","195",0,"21","Forward","Active",1610612744,"Warriors","GOS","warriors","Golden State","HISTADD_robert_churchwell","1995","1995","N"
929,"Tracy","Moore","Tracy Moore","Moore, Tracy","T. Moore","1965-12-28T00:00:00",NA,"US","Tulsa/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_tracy_moore","1991","1996","N"
930,"Kenny","Gattison","Kenny Gattison","Gattison, Kenny","K. Gattison","1964-05-23T00:00:00","Old Dominion","US","Old Dominion/US","6-8","225",8,"44","Forward","Active",1610612763,"Grizzlies","VAN","grizzlies","Vancouver","HISTADD_kenny_gattison","1986","1995","N"
931,"Don","MacLean","Don MacLean","MacLean, Don","D. MacLean","1970-01-16T00:00:00","UCLA","US","UCLA/US","",NA,0,"","","Inactive",0,"","","","","donald_maclean","1992","2000","N"
932,"Oliver","Miller","Oliver Miller","Miller, Oliver","O. Miller","1970-04-06T00:00:00","Arkansas","US","Arkansas ''92/US","6-9","315",8,"3","Center","Active",1610612750,"Timberwolves","MIN","timberwolves","Minnesota","oliver_miller","1992","2003","N"
934,"Derrick","Coleman","Derrick Coleman","Coleman, Derrick","D. Coleman","1967-06-21T00:00:00","Syracuse","US","Syracuse '90/US","",NA,0,"","","Inactive",0,"","","","","derrick_coleman","1990","2004","N"
935,"Bryon","Russell","Bryon Russell","Russell, Bryon","B. Russell","1970-12-31T00:00:00","Long Beach State","US","Long Beach State/US","",NA,0,"","","Inactive",0,"","","","","bryon_russell","1993","2005","N"
937,"Scottie","Pippen","Scottie Pippen","Pippen, Scottie","S. Pippen","1965-09-25T00:00:00","Central Arkansas","US","Central Arkansas ''87/US","6-8","228",16,"33","Forward-Guard","Active",1610612741,"Bulls","CHI","bulls","Chicago","scottie_pippen","1987","2003","N"
938,"Rony","Seikaly","Rony Seikaly","Seikaly, Rony","R. Seikaly","1965-05-10T00:00:00","Syracuse","US","Syracuse/US","6-11","253",10,"2","Center","Active",1610612751,"Nets","NJN","nets","New Jersey","HISTADD_rony_seikaly","1988","1998","N"
939,"Pete","Myers","Pete Myers","Myers, Pete","P. Myers","1963-09-15T00:00:00","Arkansas-Little Rock","US","Arkansas-Little Rock/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_pete_myers","1986","1997","N"
940,"Earl","Cureton","Earl Cureton","Cureton, Earl","E. Cureton","1957-09-03T00:00:00","Detroit","US","Robert Morris; Detroit/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_earl_cureton","1980","1996","N"
941,"Ennis","Whatley","Ennis Whatley","Whatley, Ennis","E. Whatley","1962-08-11T00:00:00","Alabama","US","Alabama/US","",NA,0,"","","Inactive",0,"","","","","HISTADD_ennis_whatley","1983","1996","N"
942,"Todd","Mundt","Todd Mundt","Mundt, Todd","T. Mundt","1970-05-17T00:00:00",NA,"US","Delta State/US","7-0","255",0,"51","Center","Active",1610612738,"Celtics","BOS","celtics","Boston","HISTADD_todd_mundt","1995","1995","N"
943,"Ryan","Lorthridge","Ryan Lorthridge","Lorthridge, Ryan","R. Lorthridge","1972-07-27T00:00:00","Jackson State","US","Jackson State/US","6-4","190",0,"9-33","Guard","Active",1610612744,"Warriors","GOS","warriors","Golden State","HISTADD_ryan_lorthridge","1994","1994","N"
